tamilnadu,south,north
614019,507167,143408
614019,507167,143409
614019,507168,143409
614019,507168,143410
614019,507169,143410
614020,507169,143410
614020,507170,143410
614020,507170,143411
614101,507170,143411
614101,507182,143411
614102,507182,143411
614102,507182,143412
614103,507182,143412
614201,507183,143412
614202,507183,143413
614203,507183,143413
614203,507201,143413
614203,507201,143414
614203,507201,143415
614204,507201,143415
614205,507201,143415
614205,507202,143415
614206,507202,143415
614206,507203,143415
614206,507203,143416
614207,507203,143416
614208,507203,143416
614210,507203,143416
614210,507204,143416
614211,507204,143416
614301,507204,143416
614301,507208,143416
614302,507208,143416
614302,507209,143416
614302,507209,143419
614303,507209,143419
614401,507209,143419
614401,507210,143419
614402,507210,143419
614402,507210,143422
614403,507210,143422
614403,507210,143501
614404,507210,143501
614404,507210,143502
614404,507211,143502
614404,507211,143504
614601,507211,143504
614601,507301,143504
614602,507301,143504
614602,507301,143505
614602,507301,143506
614602,507302,143506
614602,507303,143506
614602,507303,143507
614612,507303,143507
614612,507304,143507
614612,507305,143507
614612,507306,143507
614613,507306,143507
614613,507306,143511
614614,507306,143511
614614,507316,143511
614614,507318,143511
614614,508001,143511
614614,508002,143511
614615,508002,143512
614615,508004,143512
614616,508004,143512
614616,508101,143512
614616,508101,143513
614616,508105,143513
614616,508111,143513
614616,508111,143514
